No,Rank,Gender,Flavor,Juiciness,Tenderness,Umami,Palability,Marbling,Color,Texture,Surface Moisture,Total,Name,2,3,1+,1++
69574,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069574.jpg,0,0,0,1
69577,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069577.jpg,0,0,0,1
69578,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069578.jpg,0,0,0,1
69606,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069606.jpg,0,0,0,1
69611,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069611.jpg,0,0,0,1
69619,1++,female,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069619.jpg,0,0,0,1
69620,1++,female,3.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069620.jpg,0,0,0,1
69625,1++,steer,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069625.jpg,0,0,0,1
69630,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,QC_cow_segmentation_1++_069630.jpg,0,0,0,1
69632,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,QC_cow_segmentation_1++_069632.jpg,0,0,0,1
69634,1++,steer,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_069634.jpg,0,0,0,1
69639,1++,female,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069639.jpg,0,0,0,1
69648,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069648.jpg,0,0,0,1
69649,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069649.jpg,0,0,0,1
69654,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069654.jpg,0,0,0,1
69656,1++,steer,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069656.jpg,0,0,0,1
69689,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069689.jpg,0,0,0,1
69693,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,QC_cow_segmentation_1++_069693.jpg,0,0,0,1
69706,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069706.jpg,0,0,0,1
69714,1++,steer,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069714.jpg,0,0,0,1
69717,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069717.jpg,0,0,0,1
69735,1++,steer,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069735.jpg,0,0,0,1
69736,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069736.jpg,0,0,0,1
69738,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069738.jpg,0,0,0,1
69743,1++,female,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069743.jpg,0,0,0,1
69751,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069751.jpg,0,0,0,1
69760,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069760.jpg,0,0,0,1
69764,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069764.jpg,0,0,0,1
69765,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,QC_cow_segmentation_1++_069765.jpg,0,0,0,1
69769,1++,steer,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069769.jpg,0,0,0,1
69786,1++,female,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069786.jpg,0,0,0,1
69789,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_069789.jpg,0,0,0,1
69791,1++,steer,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069791.jpg,0,0,0,1
69797,1++,steer,4.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069797.jpg,0,0,0,1
69798,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069798.jpg,0,0,0,1
69800,1++,steer,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069800.jpg,0,0,0,1
69803,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069803.jpg,0,0,0,1
69805,1++,steer,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_069805.jpg,0,0,0,1
69814,1++,steer,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069814.jpg,0,0,0,1
69818,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069818.jpg,0,0,0,1
69823,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_069823.jpg,0,0,0,1
69824,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069824.jpg,0,0,0,1
69833,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_069833.jpg,0,0,0,1
69850,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069850.jpg,0,0,0,1
69857,1++,female,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069857.jpg,0,0,0,1
69858,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069858.jpg,0,0,0,1
69859,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069859.jpg,0,0,0,1
69863,1++,steer,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069863.jpg,0,0,0,1
69864,1++,steer,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069864.jpg,0,0,0,1
69866,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069866.jpg,0,0,0,1
69867,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,QC_cow_segmentation_1++_069867.jpg,0,0,0,1
69871,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069871.jpg,0,0,0,1
69880,1++,steer,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_069880.jpg,0,0,0,1
69885,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069885.jpg,0,0,0,1
69895,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069895.jpg,0,0,0,1
69904,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069904.jpg,0,0,0,1
69906,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069906.jpg,0,0,0,1
69909,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,QC_cow_segmentation_1++_069909.jpg,0,0,0,1
69927,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069927.jpg,0,0,0,1
69929,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069929.jpg,0,0,0,1
69932,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069932.jpg,0,0,0,1
69933,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,QC_cow_segmentation_1++_069933.jpg,0,0,0,1
69938,1++,steer,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,QC_cow_segmentation_1++_069938.jpg,0,0,0,1
69939,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069939.jpg,0,0,0,1
69941,1++,steer,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069941.jpg,0,0,0,1
69943,1++,steer,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069943.jpg,0,0,0,1
69944,1++,steer,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069944.jpg,0,0,0,1
69951,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069951.jpg,0,0,0,1
69954,1++,female,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069954.jpg,0,0,0,1
69956,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069956.jpg,0,0,0,1
69966,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_069966.jpg,0,0,0,1
69970,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069970.jpg,0,0,0,1
69971,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_069971.jpg,0,0,0,1
69980,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069980.jpg,0,0,0,1
69987,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069987.jpg,0,0,0,1
69993,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069993.jpg,0,0,0,1
70003,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070003.jpg,0,0,0,1
70011,1++,female,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070011.jpg,0,0,0,1
70024,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_070024.jpg,0,0,0,1
70028,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070028.jpg,0,0,0,1
70029,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_070029.jpg,0,0,0,1
70030,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070030.jpg,0,0,0,1
70032,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070032.jpg,0,0,0,1
70050,1++,steer,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070050.jpg,0,0,0,1
70056,1++,female,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070056.jpg,0,0,0,1
70074,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_070074.jpg,0,0,0,1
70079,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070079.jpg,0,0,0,1
70116,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070116.jpg,0,0,0,1
70117,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070117.jpg,0,0,0,1
70122,1++,steer,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_070122.jpg,0,0,0,1
70123,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,QC_cow_segmentation_1++_070123.jpg,0,0,0,1
70128,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070128.jpg,0,0,0,1
70145,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_070145.jpg,0,0,0,1
70154,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070154.jpg,0,0,0,1
70155,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070155.jpg,0,0,0,1
70156,1++,steer,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070156.jpg,0,0,0,1
70163,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070163.jpg,0,0,0,1
70165,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_070165.jpg,0,0,0,1
70177,1++,female,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070177.jpg,0,0,0,1
70178,1++,steer,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070178.jpg,0,0,0,1
70184,1++,steer,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070184.jpg,0,0,0,1
70203,1++,steer,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070203.jpg,0,0,0,1
70204,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070204.jpg,0,0,0,1
70234,1++,steer,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070234.jpg,0,0,0,1
70242,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070242.jpg,0,0,0,1
70257,1++,steer,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_070257.jpg,0,0,0,1
70265,1++,female,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070265.jpg,0,0,0,1
70280,1++,steer,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_070280.jpg,0,0,0,1
70329,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070329.jpg,0,0,0,1
70333,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_070333.jpg,0,0,0,1
70334,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070334.jpg,0,0,0,1
70364,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070364.jpg,0,0,0,1
70371,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070371.jpg,0,0,0,1
70378,1++,steer,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,QC_cow_segmentation_1++_070378.jpg,0,0,0,1
70393,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070393.jpg,0,0,0,1
70407,1++,steer,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070407.jpg,0,0,0,1
70424,1++,steer,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070424.jpg,0,0,0,1
70426,1++,steer,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070426.jpg,0,0,0,1
70429,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,QC_cow_segmentation_1++_070429.jpg,0,0,0,1
70436,1++,steer,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070436.jpg,0,0,0,1
70457,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070457.jpg,0,0,0,1
70460,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070460.jpg,0,0,0,1
70464,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070464.jpg,0,0,0,1
70471,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070471.jpg,0,0,0,1
70474,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070474.jpg,0,0,0,1
70475,1++,steer,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070475.jpg,0,0,0,1
70484,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070484.jpg,0,0,0,1
70485,1++,steer,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,QC_cow_segmentation_1++_070485.jpg,0,0,0,1
70487,1++,female,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070487.jpg,0,0,0,1
70495,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070495.jpg,0,0,0,1
70509,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070509.jpg,0,0,0,1
70526,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070526.jpg,0,0,0,1
70527,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070527.jpg,0,0,0,1
70559,1++,steer,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070559.jpg,0,0,0,1
70572,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070572.jpg,0,0,0,1
70577,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070577.jpg,0,0,0,1
70581,1++,steer,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070581.jpg,0,0,0,1
70586,1++,steer,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070586.jpg,0,0,0,1
70591,1++,steer,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_070591.jpg,0,0,0,1
70601,1++,steer,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070601.jpg,0,0,0,1
70610,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070610.jpg,0,0,0,1
70613,1++,steer,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070613.jpg,0,0,0,1
70627,1++,female,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070627.jpg,0,0,0,1
70641,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070641.jpg,0,0,0,1
70720,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,QC_cow_segmentation_1++_070720.jpg,0,0,0,1
70728,1++,female,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,QC_cow_segmentation_1++_070728.jpg,0,0,0,1
70768,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,QC_cow_segmentation_1++_070768.jpg,0,0,0,1
70805,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070805.jpg,0,0,0,1
70824,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070824.jpg,0,0,0,1
70829,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_070829.jpg,0,0,0,1
70845,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_070845.jpg,0,0,0,1
